idea_ref,name,view_type,catalog_id,A,B,X,status,boundary,next_or_stop,source,detail
MAIN-R198,PSN(Fang),per_paper_fusion_hint,W0170,并行/带状/滑动 PSN 公式族——与本地结构化 T10/lifting PSN 直接相关的神经元底座与强对照谱系（借入原作并行化≠X）。,逐步迭代 LIF/IF 含复位；Vth=∞ 禁放；无掩码满阶非因果导致层延迟 T。,原作可学习满 W 或 sliding≠本地 lifting 结构化因子/半步图 X；本地主张在结构化执行对象与消费者接口。,直接支撑 lifting/PSN 主岛理解；Stage B 用普通 dense-source/raw 对照时本族为算法先验。不抢 Stage B 排程。,原作分类/序列任务；masked/sliding 渐进训练≠本地 θg/非因果 T10 合同；不得把并行前缀加速写成 Stage B 净服务%；仅方法摘录窗口。,若仅替换为原作满 W/sliding 而无 lifting 结构，相对 ordinary 无净服务/精度门 → 停「当标题」，保留对照。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,k-order 掩码作因果/有限依赖对照，对比本地非因果 T10 | 渐进掩码 λ:1→Mk 作训练稳定技巧（借入） | sliding 共享核作「时间维低参」强对照 vs lifting 结构化 | 去复位并行前缀只作仿真加速先验，不进硬件标题
MAIN-R207,Best of Both Worlds,per_paper_fusion_hint,W0179,事件前端脉冲编码 + 后端 ANN 可训性的混合分工——光流任务架构对照；硬复位 LIF 设定明确（借入≠X）。,全 ANN；全 SNN；深层先 spiking；显式 ConvRNN 加重参。,混合层类型≠结构化 lifting PSN X；不把混合当本地硬件标题。,光流算法对照；与 Adaptive-SpikeNet 成对读。不抢 Stage B。,MVSEC/DSEC AEE 数字≠valid825 合同；混合网≠nts07；仅方法摘录窗口。,混合在本地数据上不胜纯结构化 PSN/ANN 基线或破 AEE → 停该混合布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,「浅层脉冲滤噪+深层 ANN」位置消融法可复用到神经元选型实验设计 | Fire-FlowNet 轻量骨架作小模型对照 | 相对 ConvRNN 的参数/能量叙事作「隐式复发够用」对照 | 负结果只停某混合深度布局
MAIN-R162,MatFormer,per_paper_fusion_hint,W0134,嵌套弹性子网 + 少粒度训练换多部署点——作「宽度/计算弹性」对照；与 shared-Q 消融不同（借入≠X）。,为每约束重训；NAS 后重训；联合优化过多子网导致更新不足（DynaBERT）。,套娃 FFN≠lifting 结构化时间因子 X；弹性推理≠same-port 净服务证明。,F1 减宽/窄稠密对照轴；条件。不抢 Stage B。,LLM/ViT 部署弹性；Mix’n’Match 不自动给出硬件周期；仅方法摘录窗口。,嵌套子网同预算不胜独立窄稠密或破 AEE → 停该套娃布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,嵌套隐层作「窄稠密 hidden50」谱系的可学习版对照 | 少粒度显式训 + 推断组合 → 降低多宽度训练成本的方法学 | 层间粒度单调 Mix’n’Match 启发式可作消融选点 | 负结果只停套娃减宽布局，不杀窄稠密对照族
MAIN-R218,TDE-3,per_paper_fusion_hint,W0190,生物启发相关运动检测先验（方向选择+可训速度编码）——光流/运动旁路对照；ISI 训更省脉冲的观察（借入≠X）。,TDE-2（无抑制，纹理下方向选择性差）；无监督的手工调参 TDE。,TDE 先验≠lifting/r1 主岛 X；运动旁路有限份额，不排主岛。,旁路（motion）；明确不进 F1–F7 主线。不抢 Stage B。,合成纹理/单检测器；非端到端网络硬件；仅方法摘录窗口（结构§2 可能在窗口外）。,接入主网络后无净 AEE/服务收益或挤占主岛档期 → 停旁路，不杀主实验。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,抑制消除残差增益作方向选择性结构先验 | spike count vs ISI 训练目标对能耗/动态范围的消融模板 | 空间频率变化下的速度编码稳健性测试法 | 负结果只停 TDE 旁路布局，不影响 Stage B
MAIN-R158,NeuraLUT,per_paper_fusion_hint,W0130,「电路级稀疏壳 + LUT 内藏稠密子网」共设计：高表达力落在布尔可综合函数里、层间仅暴露稀疏量化连边——可作 F1/F4「删暴露源字、保留隐藏计算」与浅电路延迟对照底座（借入≠X）。,LogicNets 线性神经元 L-LUT；PolyLUT 多项式 L-LUT；暴露 datapath 的 LUTNet/BNN；深电路级 DNN。,FPGA LUT 封装≠ lifting 结构化 T10/源字删字 X；差分须落到 r1 物理暴露端口与双 PED 损失，而非复述 L-LUT 子网。,F1/F4 结构压缩与暴露面对照；旁路主岛。不抢 Stage B。,MNIST/jet tagging FPGA 延迟≠本地 same-port 净服务；勿搬 1.3–4.3×；仅方法摘录窗口（训练超参/综合细节后半可能截断）。,映射到源字后暴露端口/服务不降或破 AEE → 停该封装布局，保留 LUT 文献对照。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,暴露面 fan-in/β 作「可共同删物理字」上界模板 | 隐藏 skip 不改电路拓扑→对照 F1 删字时保留表达通道 | 电路级层数压缩作延迟杀门叙事对照（非搬 LUT） | 负结果只停「LUT 子网挂 r1」布局
MAIN-R204,Seneca synaptic-delay HW-aware training,per_paper_fusion_hint,W0176,延迟时空展开→权值优化+剪枝的硬件感知训练；Shared Circular Delay Queue（双 FIFO 换缓冲）作稀疏事件延迟供数底座——时间依赖供数/生存期对照（借入≠X）。,无延迟浅网；每神经元 ring buffer（随神经元扩）；纯软件 RISC-V 仿真延迟；无剪枝的满延迟突触。,可学习突触延迟≠ lifting 结构化因子/半步图 X；本地主张在执行对象与消费者接口，不在延迟原语本身。,F1/时间轴旁路对照；与 MAIN-R205 成对读。不抢 Stage B。,SHD/Loihi/Seneca 能效≠ valid825 AEE/本地 VCS；延迟原语≠ T10 合同；仅方法摘录窗口。,延迟队列元数据/占用吃掉并集收益，或精度不胜无延迟结构化 PSN → 停该延迟布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,延迟空间化+剪枝作「时间依赖稀疏化」训练模板（换损失） | SCDQ 双缓冲作多时延消费者共享队列工程对照 | axonal-only vs per-synapse 剪枝作粒度杀门 | 负结果只停某延迟队列布局，不杀时间建模家族
MAIN-R093,SOFA,per_paper_fusion_hint,W0079,动态稀疏「预测→top-k→正式算」拆成可流水子阶段 + 前阶段排序信息引导后阶段（SU-FA）——作 F2 有损共同完成/跨阶段证书传递的工程对照（借入≠X）。,整行就绪才 top-k 的串行动态稀疏；无跨阶段引导的 FlashAttention2；各阶段独立优化无协同 tiling。,Transformer 注意力 top-k≠ r1 源字剪枝 X；差分须双 PED+lifting 源活动，而非抄 DLZS/SADS。,F2/F7 对照；第二队列。不抢 Stage B。,LLM/注意力加速器 GOPS/W≠本地 finite_service；勿搬 9.5×/71.5×；仅方法摘录窗口（微架构后半截断）。,预测阶段功耗/延迟≥正式收益，或迁到源字后净服务不降 → 停该跨阶段预测布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,跨阶段 tiling 打破「整组就绪」串行——对照 F2 半步检查点可否细粒度推进 | 低复杂度预测开销计入并集费用杀门模板 | 排序信息复用减少后阶段 EXP/COMP——证书传递对照 | 负结果只停该预测-正式流水布局
MAIN-R202,Xpikeformer,per_paper_fusion_hint,W0174,脉冲注意力用随机比特流逻辑乘（SSA）+ 混合模拟存内/数字——作「注意力算子降算术强度」与混合数据通路对照底座（借入≠X）。,ANN softmax 注意力；逐步 LIF(QKᵀ)V 全数字；纯数字理想 ASIC 投影；无随机编码的重 MAC 注意力。,SSA/随机计算≠ lifting 结构化 T10 X；能量叙事不可写成 Stage B 净服务%。,F7 注意力算子旁路；明确不进主岛。不抢 Stage B。,NLP/分类 spiking transformer；AIMC 工艺假设≠本地 RTL；勿搬 13×/1.8–1.9×；仅方法摘录窗口。,随机近似破 AEE/ΔAEE 或同分母不胜普通数字稀疏注意力 → 停该 SSA 布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,Bernoulli∧ 作注意力乘的轻量替代对照（精度/方差杀门） | 混合 AIMC-FFN + 数字 MHSA 边界作「只加速瓶颈段」模板 | 无 softmax 的脉冲注意力与本地是否需要注意力轴的决策对照 | 负结果只停 SSA 混合布局，不杀 SNN transformer 家族
MAIN-R059,FireFly-S,per_paper_fusion_hint,W0047,双端稀疏（权+脉冲）联合压缩 + Algo1 时序膜电位识别静默输出通道——可作 F1 共同删字/通道级结构剪枝与 Gustav 供数不规则性对照（借入≠X）。,仅权稀疏忽略脉冲端；overlay 反复片外访存；剪枝与量化分步+再训练；8–16b 无联合优化。,FireFly-S 双端稀疏≠标题 X；须落到 r1 源∩W 物理字与双 PED；与批01 错绑 FireFly→SCNN 区分。,F1/F7 强相关对照；Stage B 后可挂。不抢 Stage B。,FPGA SNN 分类吞吐≠本地光流 AEE 合同；Algo1 通道剪枝细节摘录有截断；勿搬原作加速比。,通道剪后 AEE 破门或并集读仍满/服务不升 → 停该 FireFly-S 布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,Algo1 膜电位时序静默通道→F1 通道级共同删候选模板 | 联合 prune+quant 顺序作压缩序列杀门 | 双端稀疏计费对齐源∩W 并集费用 | 负结果只停该联合压缩布局，不杀双端稀疏家族
MAIN-R200,SDformerFlow,per_paper_fusion_hint,W0172,事件光流上的 swin 时空注意力 + 全脉冲对照网——任务极相关的算法架构底座；与本地 nts07/结构化 PSN 并列的强任务对照（借入≠X）。,相关体积/迭代去模糊 ANN；卷积-only 光流；无时空窗的普通 spikeformer 分类网；帧聚合再 ANN。,SDformerFlow 精度/功耗叙事≠ lifting 硬件 X；本地差分在结构化执行对象与 same-port，不在换 backbone。,光流算法对照（F7 注意力旁路）；明确不抢 Stage B 主实验。,DSEC/MVSEC EPE≠ valid825 AEE 合同；开源训练码≠硬件分母；仅方法摘录窗口（网络超参细节截断）。,本地数据上不胜生产 nts07/结构化 PSN 或破 AEE → 停换骨干布局，不杀主实验。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,ANN swin vs 全脉冲 swin 成对消融法可复用到神经元选型 | 时空移窗注意力作「要不要注意力轴」的任务侧证据 | 相对相关体积的资源叙事支持「轻骨干」对照 | 负结果只停某 spikeformer 骨干，不影响 Stage B
MAIN-R047,BBS / BitVert,per_paper_fusion_hint,W0035,比特列级结构化稀疏（保证>50%）+ 免重训二进制剪枝 + bit-serial 执行——作 F1/F4「位宽/列取消」与量化后值稀疏失效问题的强对照（借入≠X）。,仅剪零比特的单向 bit-serial；值稀疏加速器（量化后稀疏≈0）；需重训的比特剪枝；Microscaling 浮点共享指数流水线。,BBS 比特列≠ r1 物理源字删字 X；差分须源活动+双 PED，而非搬 BitVert PE。,F1/F4/F6（取消列）对照；Stage B 后可挂量化-稀疏轴。不抢 Stage B。,七个 DNN 分类/检测；bit-serial≠本地 MAC 阵列假设；勿搬 3.03×/2.44×；仅方法摘录窗口。,迁到源字/系数后精度破门或服务不胜普通均匀量化/PoT → 停 BBS 布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,双向剪 0/1 列改善 bit-serial 负载均衡——对照端口位列取消 | 免重训 binary pruning 作 PTQ 后稀疏化权限边界 | 「量化杀值稀疏」问题陈述对齐本地 fixed-BN 后压缩 | 负结果只停该比特列布局
MAIN-R149,FLARE / BitSift,per_paper_fusion_hint,W0121,比特级跳零 GEMV + 模拟存内低精度 ADC 误差韧性——普通压缩/近似计算对照；「细粒度稀疏>>粗粒度」实证模板（借入≠X）。,高 ENOB ADC 脆弱传感裕量；值级稀疏 GEMV；含 FP 的 PTQ 流水；无比特解析的稠密模拟阵列。,AMS-PiM/BitSift≠ lifting X；模拟误差模型不可写成 Stage B 数字净服务。,普通压缩/近似旁路（F7）；不抢 Stage B。,Transformer AMS-PiM 预印本；工艺/ADC 假设≠本地数字 RTL；仅方法摘录窗口。,误差韧性不足破 AEE，或数字同分母无增益 → 停该 BitSift/ADC 布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,比特稀疏 vs 值稀疏差距图作 F1 粒度选择证据 | 低精度容错作 F4 有损完成证书对照 | 最长切片组合作硬件友好打包启发式 | 负结果只停模拟 PiM 布局
MAIN-R178,Control Variate approx-multiplier,per_paper_fusion_hint,W0150,高近似乘法 + 控制变量纠偏（压均值/方差）——作 F2/F4「有损算子 + 轻量证书/校正」的算法底座（借入≠X）。,精确乘；无校正的盲目近似乘；运行时精确误差估计（截断乘昂贵）；仅降 bitwidth 无结构近似。,近似乘校正≠ lifting 半步检查点 X；只有挂到 RNE/末5 证书且同分母才可能谈差分。,F2/F4 备选对照；第二队列。不抢 Stage B。,CNN 推理近似乘；摘录偏公式推导；勿搬准确率表；仅方法摘录窗口。,校正后仍不胜静态窄层/精确乘同资源，或破 AEE → 停该近似乘布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,控制变量项作「廉价校正通道」对照 F4 回退证书 | 平均误差估计 vs 精确误差——运行时费用杀门模板 | 穿孔 vs 截断乘的误差结构差异作算子选型 | 负结果只停该近似乘布局
MAIN-R063,SMAM / Spike-Driven Transformer HW,per_paper_fusion_hint,W0051,把脉冲计算改成位置编码+地址比较以旁路零——双稀疏输入（SDSA）友好的执行编码底座；可作 Gustav/lifting 非零源字供数对照（借入≠X）。,稠密 MAC 注意力/线性；只优化卷积脉冲、忽略 SDSA 双输入；叠加式通用 SNN 加速器。,地址比较消零≠标题 X；须证明对 lifting 源活动降 same-port 周期且过 AEE。,F2/F4/F7 数据通路对照；旁路主岛排程。不抢 Stage B。,Cifar-10 Spike-driven Transformer FPGA≠光流 valid825；勿搬 13.24×/1.33×；仅方法摘录窗口。,编码/比较开销≥稀疏收益或精度门失败 → 停该 SMAM 布局。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,位置编码+比较代乘作非零交汇执行模板 | 双脉冲输入 SDSA 模块边界对照多消费者并集 | 加/比较统一算子降低控制器——对照 Stage B 少改数据通路纪律 | 负结果只停该编码单元布局
MAIN-R220,Precise-event-timing egomotion,per_paper_fusion_hint,W0192,保留事件精确时序的 egomotion 流水（时序→局部速度脉冲）——运动旁路/事件合同对照；反衬「聚帧再 ANN」损失（借入≠X）。,均匀时间窗聚帧+CNN/ANN VO；纯轮速/IMU；忽略亚毫秒时序的 LIF 特征。,Egomotion 旁路≠ r1 lifting 主岛 X；有限份额，不排 Stage B。,旁路（motion）；明确不进 F1–F7 主线。不抢 Stage B。,专用芯片 egomotion；非端到端光流生产网；仅方法摘录窗口（结构细节不全）。,接入主网无净 AEE/服务或挤占主岛档期 → 停旁路，不杀主实验。,research/hardware_innovation_20260908/survey_ab_fusion_20260910/idea_extract_per_paper.csv,精确时序→速度脉冲作事件输入合同对照 | 「禁聚帧」主张对齐本地是否保留异步性的产品纪律 | 与 TDE-3 旁路成对，份额有限 | 负结果只停 egomotion 旁路布局
